check_id,check_url,last_checked_at,last_checked_status_code,supplier_name,supplier_is_beekeeper,supplier_postcode,country,sell_direct,medium,packaging_type,honey_type,next_check_at,check_enabled,latitude,longitude
58de2cdc-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/exmoor-heather-honey-set-227g/,2018-11-08T15:32:45Z,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,heather,2018-11-09T13:56:36Z,true,51.0207915765962,-3.83726126105894
58de313c-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/devon-flower-honey-set-227g/,2018-11-08T15:28:04Z,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,wildflower,2018-11-09T10:21:16Z,true,51.0207915765962,-3.83726126105894
58de3376-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/devon-flower-honey-227g-clear/,2018-11-08T15:34:42Z,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,wildflower,2018-11-09T10:47:52Z,true,51.0207915765962,-3.83726126105894
58de3556-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/exmoor-heather-honey-340g/,2018-11-08T15:34:05Z,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,heather,2018-11-09T15:14:02Z,true,51.0207915765962,-3.83726126105894
58de3722-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/devon-flower-honey-340g/,2018-11-08T15:30:40Z,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,wildflower,2018-11-09T19:35:46Z,true,51.0207915765962,-3.83726126105894
58de38ee-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/devon-flower-honey-set-340g/,2018-11-08T15:33:04Z,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,wildflower,2018-11-09T14:08:45Z,true,51.0207915765962,-3.83726126105894
59f0842e-5dd4-11e8-b567-e4b3182e34ed,http://www.denholmegatehoney.co.uk/shop/raw-yorkshire-spring-honey/,2018-11-08T15:32:18Z,200,Denholme Gate Honey,true,BD13 3QZ,england,true,jar,glass,blossom,2018-11-09T15:07:32Z,true,53.79419187,-1.860591666
59f088c0-5dd4-11e8-b567-e4b3182e34ed,http://www.denholmegatehoney.co.uk/shop/pure-yorkshire-summer-honey/,2018-11-08T15:27:57Z,200,Denholme Gate Honey,true,BD13 3QZ,england,true,jar,glass,wildflower,2018-11-09T12:51:52Z,true,53.79419187,-1.860591666
59f08a96-5dd4-11e8-b567-e4b3182e34ed,http://www.denholmegatehoney.co.uk/shop/yorkshire-heather-honey/,2018-11-08T15:31:47Z,200,Denholme Gate Honey,true,BD13 3QZ,england,true,jar,glass,heather,2018-11-09T15:34:37Z,true,53.79419187,-1.860591666
59f08b9a-5dd4-11e8-b567-e4b3182e34ed,http://www.denholmegatehoney.co.uk/shop/pollen-enriched-yorkshire-honey/,2018-11-08T15:31:55Z,200,Denholme Gate Honey,true,BD13 3QZ,england,true,jar,glass,wildflower,2018-11-09T13:29:25Z,true,53.79419187,-1.860591666
59f0e81a-5dd4-11e8-b567-e4b3182e34ed,https://www.essex-honey.co.uk/buy%20essex%20honey/store.php?product/page/7/Mainly+Summer+Borage++Local+RAW+Honey+454g+1lb,2018-05-30T12:36:54Z,1000,Essex-Honey,true,CO6 1BX,england,true,jar,glass,borage,2018-05-31T12:36:21Z,false,51.873745,0.798364097058385
59f0ea40-5dd4-11e8-b567-e4b3182e34ed,https://www.essex-honey.co.uk/buy%20essex%20honey/store.php?product/page/597/Local+Raw+Essex+Honey+in+12oz+340g+Jar,2018-05-30T12:33:33Z,1000,Essex-Honey,true,CO6 1BX,england,true,jar,glass,wildflower,2018-05-31T12:56:38Z,false,51.873745,0.798364097058385
5b971b5c-ee49-4aba-a6fd-059dfb4dfe83,http://www.bbha.biz/shopproduct.asp?Code=honeycl227g,2018-11-08T15:34:55Z,200,Blue Bell Hill Apiaries,true,ME5 9QN,england,true,jar,glass,wildflower,2018-11-09T17:55:14Z,true,51.3332122757623,0.50485103214336
5b971b5c-ee49-4aba-a6fd-059dfb4dfe84,https://www.flaxfarm.co.uk/product/traditional-raw-sussex-honey,2018-11-08T15:31:38Z,200,Flax Farm,false,RH13 6QQ,england,false,jar,glass,wildflower,2018-11-09T10:43:08Z,true,51.027371507348,-0.313467715402371
63e515e6-a26a-11e8-91ae-e4b3182e34ed,http://www.hiveandkeeper.com/available/floral-honey-from-storrington-sussex,2018-11-08T15:32:15Z,200,Hive And Keeper,false,SW18 3JY,england,true,jar,glass,wildflower,2018-11-09T16:01:17Z,true,51.4433408763912,-0.17321318659058
63e52810-a26a-11e8-91ae-e4b3182e34ed,http://www.hiveandkeeper.com/available/floral-honey-from-storrington-sussex,2018-11-08T15:34:26Z,200,Hive And Keeper,false,SW18 3JY,england,true,jar,glass,wildflower,2018-11-09T18:27:15Z,true,51.4433408763912,-0.17321318659058
