check_id,check_url,last_checked_at,last_checked_status_code,supplier_name,supplier_is_beekeeper,supplier_postcode,country,sell_direct,medium,packaging_type,honey_type,next_check_at,check_enabled,parser
17f9e5c7-0b13-547f-8396-ae4338a59cb3,https://www.aecre.co.uk/products/twyford-reading-honey,2018-11-11 15:01:50.113248+00:00,200,Aecre Honey,false,,,true,jar,glass,wildflower,NULL,false,shopify
181bc6c7-18f0-57f4-9562-3214270315ca,https://www.hiveandkeeper.com/available/floral-tooting-honey-224g,2018-11-11 14:58:08.547936+00:00,200,Hive & Keeper,false,,,true,jar,glass,wildflower,NULL,false,squarespace
19cf09ce-782a-57aa-bfd7-a50bb1f980b0,https://www.hiveandkeeper.com/available/spicy-honey-from-matt-aldridge-yattendon,2018-11-11 15:01:17.846667+00:00,200,Hive & Keeper,false,,,true,jar,glass,wildflower,NULL,false,squarespace
1a50ab78-6db0-11e8-b96b-e4b3182e34ed,https://www.blackbeehoney.co/shop/summer-honey,2018-11-24 13:24:53.906457+00:00,404,Black Bee Honey Company,false,BA10 0PE,england,false,jar,glass,wildflower,2018-11-25 11:27:25+00:00,true,simple
1a514574-6db0-11e8-b96b-e4b3182e34ed,https://www.blackbeehoney.co/shop/british-heather-honey,2018-11-24 13:26:58.930869+00:00,200,Black Bee Honey Company,false,BA10 0PE,england,false,jar,glass,heather,2018-11-25 19:32:48+00:00,true,simple
1a514bc8-6db0-11e8-b96b-e4b3182e34ed,https://www.blackbeehoney.co/shop/london-honey,2018-11-24 13:25:43.024674+00:00,200,Black Bee Honey Company,false,BA10 0PE,england,false,jar,glass,wildflower,2018-11-25 10:39:33+00:00,true,simple
1a515172-6db0-11e8-b96b-e4b3182e34ed,https://www.blackbeehoney.co/shop/seaside-honey,2018-11-24 13:25:41.908538+00:00,200,Black Bee Honey Company,false,BA10 0PE,england,false,jar,glass,wildflower,2018-11-25 12:02:14+00:00,true,simple
1aaf5197-2d73-4b64-a91e-08a24b4d10b0,http://www.croftapiaries.co.uk/product/set-lincolnshire-honey-340gm/,2018-11-24 13:23:39.017479+00:00,200,Croft Apiaries,true,LN8 2BE,england,true,jar,glass,wildflower,2018-11-25 14:09:30+00:00,true,simple
1b165b65-105d-46b0-ae65-51b83fc690f3,http://www.bbha.biz/shopproduct.asp?Code=honeycr227g,2018-11-24 13:24:40.263866+00:00,200,Blue Bell Hill Apiaries,true,ME5 9QN,england,true,jar,glass,wildflower,2018-11-25 09:08:16+00:00,true,simple
1cde22cc-07ce-5d64-a9e8-44c16b2635c3,https://honeyguides.co.uk/england/wiltshire/semley-shaftesbury-honey/,2018-11-22 20:25:15.483693+00:00,200,Honeyguides,true,,,true,jar,glass,wildflower,NULL,false,bigcommerce
21f6b7e0-711c-5fe3-b335-335869a049ac,https://www.hiveandkeeper.com/available/fruity-honey-from-brain-bull-braintree-essex,2018-11-11 14:57:05.537631+00:00,200,Hive & Keeper,false,,,true,jar,glass,wildflower,NULL,false,squarespace
22ea0f31-8da4-46c0-8f4b-79c1ea278672,http://www.bbha.biz/equipmentproduct.asp?Code=honeycr340&ReturnPage=0,2018-11-24 13:24:48.688195+00:00,200,Blue Bell Hill Apiaries,true,ME5 9QN,england,true,jar,glass,wildflower,2018-11-25 15:11:53+00:00,true,simple
22eb4915-dfa9-5886-8889-3afc2500fa8f,https://www.hiveandkeeper.com/available/spicy-godstone-honey-224g,2018-11-11 14:58:40.330972+00:00,200,Hive & Keeper,false,,,true,jar,glass,wildflower,NULL,false,squarespace
2a0e3c99-854b-4ad7-a6b1-30cdaaa7684f,http://www.thehoneyfarm.co.uk/catalog_view.php?id=5,2018-11-24 17:00:31.15534+00:00,1000,New Quay Honey Farm,true,SA44 6NN,wales,true,jar,glass,borage,2018-11-25 11:44:41+00:00,true,simple
2a5db96a-5de9-11e8-b567-e4b3182e34ed,https://www.cathedralshop.com/products/two-cathedral-honey,2018-11-24 13:24:41.727561+00:00,200,Liverpool Cathedral,true,L1 7AZ,england,true,jar,glass,wildflower,2018-11-25 10:30:47+00:00,true,simple
